rule,Def,num,support1,confidence1,lift1,support2,confidence2,lift2,support3,confidence3,lift3,support4,confidence4,lift4,support5,confidence5,lift5,support6,confidence6,lift6,support7,confidence7,lift7
"S1, P1, D-1, Ag5->N1, I4","gender=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, age=45+->numfatal=1, injury=Fatal Injury (K)",6,,,,,,,0.054918318,0.51465798,1.30073588,0.057394891,0.52570829,1.343750413,0.053836235,0.528481013,1.346671496,,,,,,
"N1, Alc1->P1, I4","numfatal=1, alcres=Yes->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",4,0.104593823,0.585472155,2.084865262,0.06237447,0.592788971,2.026153608,0.059668636,0.609467456,2.031793592,0.061748196,0.608352144,2.079211382,0.066408769,0.598257502,2.021562933,0.078096078,0.592245989,2.082774566,0.102575046,0.595375723,2.189325636
"N1, A1, D-1, S1, Alc1->I4","numfatal=1, atmcond=Clear, druginv=Blank, gender=Male, alcres=Yes->injury=Fatal Injury (K)",6,0.052426681,0.829001368,1.866827745,,,,,,,,,,,,,,,,0.054204012,0.837362637,1.909431299
"P1, Alc1->I4","ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->injury=Fatal Injury (K)",3,0.116273034,0.748746518,1.68610189,0.067507253,0.780645161,1.727869088,0.064418955,0.797704448,1.746572067,0.067361668,0.795669824,1.760558148,0.071996561,0.781796966,1.720766927,0.086205377,0.762275916,1.737946195,0.113956466,0.756373938,1.724753417
"N1, A1, S1, D-1, P1->I4","numfatal=1, atmcond=Clear, gender=Male, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport->injury=Fatal Injury (K)",6,,,,0.083463513,0.510928962,1.130883022,,,,,,,,,,0.085852799,0.535753575,1.221488005,,,
"N1, P5->I4","numfatal=1, ptype=Pedestrian->injury=Fatal Injury (K)",3,0.050004326,0.911671924,2.052993527,0.065164026,0.941935484,2.084866833,0.062333449,0.938917976,2.055758764,0.064955894,0.956155143,2.115659885,0.067590802,0.929098966,2.044984621,0.058263552,0.919332406,2.096026155,0.054559681,0.917464115,2.092086055
"N1, A1, D-1, P1, Alc0->I4","numfatal=1, atmcond=Clear, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",6,,,,0.05489846,0.708933718,1.56914398,,,,,,,,,,,,,,,
"D-1, P1, Alc1->S1, I4","druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->gender=Male, injury=Fatal Injury (K)",5,0.05727139,0.677584442,2.10826341,,,,,,,,,,,,,,,,0.057974107,0.675787728,2.13009504
"N1, S1, F12, Alc0->I4","numfatal=1, gender=Male, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",5,,,,0.052666815,0.602809706,1.334250577,0.058394161,0.585365854,1.2816572,0.056592966,0.599514563,1.326530449,0.051257253,0.601513241,1.323955113,,,,,,
"N1, P1, Alc1->A1, S1, I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->atmcond=Clear, gender=Male, injury=Fatal Injury (K)",6,0.069988753,0.502484472,2.039402392,,,,,,,,,,,,,0.051035699,0.5,2.129316817,0.070280267,0.519180242,2.094901216
"S2, Alc0->N1, I4","gender=Fenale, alcres=No->numfatal=1, injury=Fatal Injury (K)",4,,,,0.058580674,0.631768953,1.59895887,0.055265902,0.614690722,1.55355655,0.054072631,0.636118598,1.625967568,0.054588438,0.61352657,1.563383971,0.050418687,0.626506024,1.668868477,,,
"N1, S1, D-1, Alc0->I4","numfatal=1, gender=Male, druginv=Blank, alcres=No->injury=Fatal Injury (K)",5,,,,0.075987503,0.770361991,1.705108462,0.075541652,0.75638051,1.656093401,0.078703173,0.788748565,1.745243656,0.069954868,0.783393502,1.724280967,0.06460996,0.758799172,1.730019414,,,
"P1, Alc1->A1, S1, I4","ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->atmcond=Clear, gender=Male, injury=Fatal Injury (K)",5,,,,,,,,,,,,,,,,0.056765095,0.501948558,2.137615012,0.077109119,0.511803588,2.065136293
"N1, Ag5, Alc0->A1, I4","numfatal=1, age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",5,,,,0.073644276,0.563620837,1.69275132,0.069400996,0.50463353,1.522367003,0.071944094,0.536293766,1.614801064,0.069310123,0.546610169,1.60871418,0.064169238,0.579156722,1.747482185,,,
"S1, Ag5->I4","gender=Male, age=45+->injury=Fatal Injury (K)",3,0.112293451,0.570800352,1.285385012,0.146061147,0.556311092,1.231331195,0.155370177,0.556200747,1.217800265,0.158093711,0.562805873,1.245306074,0.154631421,0.566312475,1.246476797,0.139973557,0.550433276,1.254956895,0.11936264,0.564413051,1.287026548
"N1, P1, D-1, Alc0->S1, I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, alcres=No->gender=Male, injury=Fatal Injury (K)",6,,,,,,,0.055613486,0.530973451,1.671956169,0.053958071,0.545138889,1.719117544,0.051901999,0.545762712,1.719901049,,,,,,
"D-1, Alc1->A1, S1, I4","druginv=Blank, alcres=Yes->atmcond=Clear, gender=Male, injury=Fatal Injury (K)",5,,,,,,,,,,,,,,,,,,,0.062455541,0.521068249,2.102519359
"A1, S2, Alc0->I4","atmcond=Clear, gender=Fenale, alcres=No->injury=Fatal Injury (K)",4,,,,0.051550993,0.764900662,1.693020433,,,,,,,,,,,,,,,
"N1, S1, Ag5, Alc0->A1, I4","numfatal=1, gender=Male, age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",6,,,,0.050212006,0.548112058,1.646173012,,,,0.051895979,0.529824561,1.595322041,,,,,,,,,
"Ag5, Alc0->A1, I4","age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",4,0.052945757,0.598240469,1.770822429,0.081231868,0.56390395,1.69360161,0.077627158,0.507960576,1.532403961,0.080765265,0.540644172,1.627900302,0.080270793,0.560390098,1.649269528,0.072014103,0.580255682,1.750798061,0.054701949,0.562134503,1.64841194
"S1, Ag5, Alc0->N1, A1, I4","gender=Male, age=45+, alcres=No->numfatal=1, atmcond=Clear, injury=Fatal Injury (K)",6,,,,0.050212006,0.507900677,1.724822232,,,,,,,,,,,,,,,
"A1, D0, Alc0->N1, I4","atmcond=Clear, druginv=No(drugs not involved), alcres=No->numfatal=1, injury=Fatal Injury (K)",5,,,,0.053559473,0.566706021,1.434289569,,,,,,,,,,,,,,,
"N1, Alc1->A1, S1, I4","numfatal=1, alcres=Yes->atmcond=Clear, gender=Male, injury=Fatal Injury (K)",5,0.090665282,0.507506053,2.059783171,,,,0.051905921,0.530177515,2.256391583,0.052927025,0.521444695,2.214934669,0.057704707,0.519845111,2.182083268,0.067430586,0.511363636,2.177710381,0.090980225,0.52807597,2.130795634
"Alc1->A1, I4","alcres=Yes->atmcond=Clear, injury=Fatal Injury (K)",3,0.121809845,0.59509721,1.761518222,0.070631555,0.616959064,1.85294475,0.069864442,0.655434783,1.977300807,0.069882003,0.62692703,1.887701291,0.077261982,0.638543517,1.879280825,0.093080652,0.62633452,1.88983115,0.125124484,0.634102379,1.859451658
"P1, D-1->I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank->injury=Fatal Injury (K)",3,,,,,,,0.166377013,0.513958482,1.125310924,0.163363501,0.503353336,1.113756975,0.164195143,0.518669382,1.14161241,,,,,,
"N1, S1, Alc1->A1, I4","numfatal=1, gender=Male, alcres=Yes->atmcond=Clear, injury=Fatal Injury (K)",5,0.090665282,0.602645198,1.783860653,0.051774158,0.608125819,1.826415413,0.051905921,0.65497076,1.975900955,0.052927025,0.635488308,1.913479628,0.057704707,0.63028169,1.854965657,0.067430586,0.619433198,1.869007882,0.090980225,0.635685885,1.864095154
"A1, Ag5, Alc0->N1, I4","atmcond=Clear, age=45+, alcres=No->numfatal=1, injury=Fatal Injury (K)",5,,,,0.073644276,0.688216893,1.741824285,0.069400996,0.648970748,1.640195175,0.071944094,0.661052632,1.689700855,0.069310123,0.654822335,1.66861354,0.064169238,0.692015209,1.843369934,,,
"N1, Ag5, Alc0->P1, I4","numfatal=1, age=45+, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",5,,,,0.072528453,0.555081127,1.89726814,0.073456146,0.534119629,1.780605068,0.070683927,0.526900085,1.800826486,0.066623684,0.525423729,1.775451424,0.061084178,0.551312649,1.938822692,,,
"A1, Alc1->I4","atmcond=Clear, alcres=Yes->injury=Fatal Injury (K)",3,0.121809845,0.796830787,1.794382829,0.070631555,0.816774194,1.807836583,0.069864442,0.8457223,1.851707045,0.069882003,0.833333333,1.843895226,0.077261982,0.841920375,1.853100995,0.093080652,0.809815951,1.8463348,0.125124484,0.808363971,1.843305872
"D-1, Alc0->S1, I4","druginv=Blank, alcres=No->gender=Male, injury=Fatal Injury (K)",4,0.060212821,0.53869969,1.676131823,0.085360411,0.532729805,1.705725085,0.085969181,0.539636364,1.699234387,0.087868026,0.556200145,1.753999663,0.078444015,0.544369873,1.715511697,0.073424416,0.513880321,1.680591594,0.057902973,0.521460602,1.643653172
"A1, P1, F12, Alc0->I4","atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",5,,,,0.060812319,0.61861521,1.369234258,0.066504461,0.608050847,1.331325942,0.061862756,0.609480813,1.348582513,0.060713518,0.635545557,1.398861625,0.060907889,0.626473255,1.428323769,,,
"Ag3, Alc1->N1, I4","age=20-30, alcres=Yes->numfatal=1, injury=Fatal Injury (K)",4,0.053551345,0.64884696,1.753980826,,,,,,,,,,,,,,,,,,
"N1, A1, D-1, Alc1->S1, I4","numfatal=1, atmcond=Clear, druginv=Blank, alcres=Yes->gender=Male, injury=Fatal Injury (K)",6,0.052426681,0.691780822,2.152434595,,,,,,,,,,,,,,,,0.054204012,0.683408072,2.154114501
"N1, A1, S1, Alc0->P1, I4","numfatal=1, atmcond=Clear, gender=Male, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",6,0.052945757,0.551848512,1.965131532,0.076880161,0.527969349,1.804600039,0.075309929,0.534539474,1.782004711,0.072746019,0.525662252,1.796595848,0.069202665,0.535328346,1.808919966,0.062406346,0.518681319,1.82406682,0.052852468,0.525088339,1.930863686
"N1, A1, P1, D-1->I4","numfatal=1, atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank->injury=Fatal Injury (K)",5,,,,,,,0.112038003,0.508679642,1.113752915,,,,0.112615517,0.507260407,1.116500791,,,,,,
"D-1, Alc1->N1, A1, I4","druginv=Blank, alcres=Yes->numfatal=1, atmcond=Clear, injury=Fatal Injury (K)",5,0.062981227,0.519258203,1.843964843,,,,,,,,,,,,,,,,0.066154503,0.551928783,1.927226735
"N1, S1, P1, Ag4->I4","numfatal=1, gender=Male, ptype=Driver of a Motor Vehicle In-Transport, age=30-45->injury=Fatal Injury (K)",5,0.050696427,0.511790393,1.152500517,,,,,,,,,,,,,,,,,,
"S1, P1, F12, Alc0->I4","gender=Male, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",5,,,,0.056014283,0.59408284,1.314934654,0.064766539,0.581081081,1.2722757,0.060258907,0.583795782,1.291749908,0.055663013,0.593356243,1.306001229,0.053327457,0.567542214,1.293964312,,,
"D-1, S1, P1, Alc1->I4","druginv=Blank, gender=Male, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->injury=Fatal Injury (K)",5,0.05727139,0.772462077,1.739506945,,,,,,,,,,,,,,,,0.057974107,0.787439614,1.795592228
"D-1, Alc1->A1, I4","druginv=Blank, alcres=Yes->atmcond=Clear, injury=Fatal Injury (K)",4,0.073189722,0.60342368,1.786164999,,,,,,,,,,,,,0.057470251,0.644906034,1.945866742,0.077393655,0.645697329,1.893452869
"A1, F12, Alc0->N1, I4","atmcond=Clear, fhevent=Motor Vehicle In-Transport, alcres=No->numfatal=1, injury=Fatal Injury (K)",5,,,,0.058915421,0.546583851,1.383361896,0.060132082,0.515904573,1.303886491,0.058311376,0.524201854,1.339899848,0.057059961,0.539634146,1.375091831,0.056324372,0.5325,1.418457971,,,
"S1, D-1, P1, Alc0->I4","gender=Male, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",5,,,,0.06036599,0.714663144,1.581825413,,,,,,,,,,0.050242398,0.690909091,1.57523385,,,
"S1, D0, Alc0->I4","gender=Male, druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",4,,,,0.052555233,0.598475222,1.324656691,0.053296258,0.577889447,1.265287625,0.050979494,0.57642487,1.27544048,,,,,,,,,
"N1, D-1, P1, Ag5->I4","numfatal=1, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, age=45+->injury=Fatal Injury (K)",5,0.051648066,0.57293666,1.290195764,0.073197947,0.55499154,1.228410516,,,,,,,,,,0.068488321,0.55106383,1.256394524,0.053706075,0.560089021,1.277166497
"N1, P1, D-1, Ag5->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, age=45+->injury=Fatal Injury (K)",5,,,,,,,0.073572008,0.55506993,1.215324345,0.071714973,0.541054451,1.197177263,0.07027724,0.553299492,1.217834692,,,,,,
"P1, D0, Alc0->N1, I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=No(drugs not involved), alcres=No->numfatal=1, injury=Fatal Injury (K)",5,,,,0.056683776,0.515212982,1.303964626,,,,,,,,,,,,,,,
"N1, A1, P1, D-1, Ag5->I4","numfatal=1, atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, age=45+->injury=Fatal Injury (K)",6,,,,,,,0.053180396,0.538100821,1.178170518,0.051895979,0.529205607,1.170959632,0.051579626,0.552995392,1.217165354,,,,,,
"D0, Alc0->N1, I4","druginv=No(drugs not involved), alcres=No->numfatal=1, injury=Fatal Injury (K)",4,,,,0.069627315,0.556645852,1.40882805,0.070327888,0.540516474,1.366090098,0.065070455,0.534336783,1.365805498,0.06415216,0.516883117,1.317117822,0.054032613,0.520815633,1.387333495,,,
"S1, Ag5, Alc0->I4","gender=Male, age=45+, alcres=No->injury=Fatal Injury (K)",4,,,,0.071970542,0.727990971,1.611325038,0.075425791,0.702265372,1.537608429,0.077786688,0.720806794,1.594910648,0.070492156,0.719298246,1.5832047,0.061877479,0.72371134,1.650021132,,,
"N1, A1, S1, P1, D-1->I4","numfatal=1, atmcond=Clear, gender=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank->injury=Fatal Injury (K)",6,,,,,,,0.085969181,0.532663317,1.166265116,0.086607859,0.536170213,1.186370035,0.088222652,0.541914191,1.192775181,,,,,,
"A1, S1, D-1->I4","atmcond=Clear, gender=Male, druginv=Blank->injury=Fatal Injury (K)",4,,,,,,,,,,0.145606599,0.500393701,1.107208267,,,,,,,,,
"N1, D-1, S1, Alc1->A1, I4","numfatal=1, druginv=Blank, gender=Male, alcres=Yes->atmcond=Clear, injury=Fatal Injury (K)",6,0.052426681,0.605394605,1.791999038,,,,,,,,,,,,,,,,0.054204012,0.638725901,1.873009745
"S1, D-1, P1, Alc0->N1, I4","gender=Male, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->numfatal=1, injury=Fatal Injury (K)",6,,,,0.054563713,0.645970938,1.634903006,,,,,,,,,,,,,,,
"N1, A1, S1, P1, Alc0->I4","numfatal=1, atmcond=Clear, gender=Male, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",6,0.052945757,0.650371945,1.46457224,0.076880161,0.631530706,1.397821236,0.075309929,0.625,1.368436073,0.072746019,0.640120968,1.416379196,0.069202665,0.639523337,1.407616881,0.062406346,0.621052632,1.415965053,0.052852468,0.62489487,1.424942754
"A1, S1, P1, Ag5->I4","atmcond=Clear, gender=Male, ptype=Driver of a Motor Vehicle In-Transport, age=45+->injury=Fatal Injury (K)",5,0.06600917,0.56813105,1.279374012,0.077884401,0.517804154,1.146100477,0.081914031,0.517948718,1.134047535,0.084431206,0.518284107,1.146793909,0.080055878,0.527246992,1.160492079,0.077743499,0.517909571,1.18080468,0.067221511,0.544982699,1.242719673
"N1, P1, Ag5, Alc0->A1, I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",6,,,,0.054340549,0.521413276,1.565987192,,,,,,,,,,,,,,,
"A1, S1, P1, D-1->I4","atmcond=Clear, gender=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank->injury=Fatal Injury (K)",5,,,,,,,0.092457421,0.534494307,1.170274064,0.094627105,0.544137022,1.203997989,0.095637223,0.545009186,1.199587389,,,,,,
"Alc1->N1, A1, I4","alcres=Yes->numfatal=1, atmcond=Clear, injury=Fatal Injury (K)",4,0.10675664,0.521555368,1.852122426,0.064940861,0.567251462,1.926376507,0.063955509,0.6,2.089830508,0.063924848,0.57348407,1.99758278,0.070707071,0.584369449,1.984723393,0.081974438,0.551601423,1.946475319,0.109119363,0.552992069,1.93093952
F1->I4,fhevent=Rollover/Overturn->injury=Fatal Injury (K),2,0.052772731,0.524054983,1.18011914,,,,,,,,,,,,,,,,0.050291649,0.530382596,1.209427174
"A1, D-1, S1, P1->I4","atmcond=Clear, druginv=Blank, gender=Male, ptype=Driver of a Motor Vehicle In-Transport->injury=Fatal Injury (K)",5,0.098883987,0.590087765,1.328818327,,,,,,,,,,,,,,,,0.097026604,0.562706271,1.283134591
"N1, D-1, Alc1->P1, I4","numfatal=1, druginv=Blank, alcres=Yes->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",5,0.057876979,0.558897243,1.99023205,,,,,,,,,,,,,,,,0.060250391,0.586565097,2.156927055
"Ag5, Alc0->P1, I4","age=45+, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",4,,,,0.079669717,0.553059644,1.890358706,0.081450585,0.53297953,1.776804296,0.078932295,0.528374233,1.805864793,0.075757576,0.528882221,1.787137961,0.069193477,0.557528409,1.960681897,,,
"P1, D0, Alc0->I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",4,,,,0.062597634,0.568965517,1.259340322,0.063492063,0.550200803,1.204663402,0.060258907,0.558386412,1.235527247,0.059531485,0.550695825,1.212103914,0.051300132,0.553231939,1.261337691,,,
"N1, A1, P1, D-1, Alc0->I4","numfatal=1, atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, alcres=No->injury=Fatal Injury (K)",6,,,,,,,0.052369366,0.684848485,1.499474194,0.050521251,0.724137931,1.602281369,0.052116914,0.728228228,1.602859956,,,,,,
"D-1, Alc0->A1, I4","druginv=Blank, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",4,0.069037114,0.617647059,1.828266928,0.093505914,0.58356546,1.752652027,0.087591241,0.549818182,1.658679038,0.090846603,0.575054387,1.731510778,0.088007737,0.610738255,1.797447882,0.083208462,0.58235657,1.757137044,0.066439038,0.598334401,1.754565083
"N1, P1, Ag3->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, age=20-30->injury=Fatal Injury (K)",4,0.071199931,0.511180124,1.151126253,,,,,,,,,,,,,,,,0.066439038,0.508161045,1.15875555
"D-1, Alc1->I4","druginv=Blank, alcres=Yes->injury=Fatal Injury (K)",3,0.10061424,0.829529244,1.868016468,0.058357509,0.850406504,1.882277868,0.053180396,0.877629063,1.92156683,0.059686104,0.869782972,1.924546403,0.063829787,0.877400295,1.931193744,0.074834729,0.839762611,1.9146115,0.100369896,0.837388724,1.909490784
"N1, A1, Alc0->P1, I4","numfatal=1, atmcond=Clear, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",5,0.069642703,0.518685567,1.847038345,0.104440973,0.514003295,1.756864046,0.100335998,0.517323775,1.724612401,0.096345515,0.508464329,1.737817199,0.094670105,0.508073818,1.7168246,0.087439401,0.514522822,1.809442471,,,
"D-1, Alc0->I4","druginv=Blank, alcres=No->injury=Fatal Injury (K)",3,0.089021542,0.796439628,1.79350198,0.126869002,0.79178273,1.752520826,0.124319314,0.780363636,1.7086044,0.127735136,0.808556925,1.789073105,0.115194498,0.79940343,1.759519471,0.11141472,0.779765577,1.777821638,0.086783326,0.781550288,1.782162847
"A1, P1, Alc1->S1, I4","atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->gender=Male, injury=Fatal Injury (K)",5,0.076563717,0.652654867,2.03069653,,,,,,,,,,,,,0.056765095,0.644644645,2.108242575,0.077109119,0.646007151,2.036226129
"N1, S1, P1, D-1, Ag5->I4","numfatal=1, gender=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, age=45+->injury=Fatal Injury (K)",6,,,,,,,0.054918318,0.555035129,1.215248147,0.057394891,0.563554556,1.246962666,0.053836235,0.570615034,1.255946903,,,,,,
"S1, Alc0->I4","gender=Male, alcres=No->injury=Fatal Injury (K)",3,0.099489575,0.701647346,1.580039289,0.146507476,0.694708995,1.537659178,0.148534353,0.678306878,1.485151361,0.14755413,0.695840086,1.539667456,0.135074146,0.690280066,1.519334506,0.121110621,0.670243902,1.528118383,0.099729691,0.680913065,1.552680594
"N1, Alc1->I4","numfatal=1, alcres=Yes->injury=Fatal Injury (K)",3,0.142832425,0.799515738,1.800429071,0.08681098,0.825026511,1.826102147,0.082145754,0.839053254,1.837105185,0.084660328,0.834085779,1.845560143,0.091661294,0.825750242,1.817509875,0.107360071,0.814171123,1.856264347,0.138853322,0.8059455,1.837791052
"N1, D-1, Ag5->I4","numfatal=1, druginv=Blank, age=45+->injury=Fatal Injury (K)",4,0.084695908,0.530911063,1.195558343,0.118165588,0.565705128,1.252123823,0.117831074,0.573604061,1.255904782,0.120632375,0.568267674,1.257391262,0.120030088,0.563856638,1.241071399,0.112208021,0.550129646,1.254264636,0.091335894,0.54222973,1.236442099
"A1, S1, Ag5->I4","atmcond=Clear, gender=Male, age=45+->injury=Fatal Injury (K)",4,0.088069902,0.580718768,1.307720288,0.109462174,0.555492639,1.229519641,0.11180628,0.55942029,1.224849447,0.117424676,0.56010929,1.239339414,0.115194498,0.575107296,1.265834555,0.106654914,0.55,1.253969051,0.093541044,0.572485851,1.30543489
"D-1, P1, Alc0->I4","druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",4,0.055541137,0.711751663,1.602793195,0.083463513,0.717850288,1.588879793,,,,,,,,,,0.072454826,0.698979592,1.593634138,0.052639067,0.687732342,1.568230538
"N1, P1, F12, Alc0->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",5,,,,0.071635796,0.607379376,1.34436502,0.077627158,0.589270009,1.290205339,0.072058655,0.599047619,1.325497254,0.070384698,0.607043559,1.336127568,0.06672543,0.590483619,1.346269426,,,
"D0, Alc0->P1, I4","druginv=No(drugs not involved), alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",4,,,,0.062597634,0.50044603,1.710525295,,,,,,,,,,,,,,,
"A1, S1, Alc0->N1, I4","atmcond=Clear, gender=Male, alcres=No->numfatal=1, injury=Fatal Injury (K)",5,0.06730686,0.610196078,1.649498707,0.100535595,0.634060521,1.604758652,0.095469818,0.608567208,1.53808011,0.096918318,0.621145374,1.587694868,0.09004943,0.622585438,1.586467713,0.081798149,0.604560261,1.610409992,0.068715322,0.604884158,1.649876114
"N1, S1, D-1, Ag5->I4","numfatal=1, gender=Male, druginv=Blank, age=45+->injury=Fatal Injury (K)",5,,,,0.081231868,0.588045234,1.301571101,0.081103001,0.596760443,1.306605628,0.087066102,0.604614161,1.337814197,0.083816892,0.60371517,1.32880165,0.078096078,0.583278473,1.329842097,,,
